"","lat","lng","Place ID"
"74","18.4850912","-69.8253451","ChIJtx7dorqHr44Rf6dcVdFp0p0"
"75","18.4866330","-69.8652780","ChIJaS-bzXaIr44RDa1aY5d8RFk"
"76","18.4697508","-69.8917181","ChIJz9lkLDuIr44RZkRt0bmSqpw"
"77","18.5018269","-69.8983620","ChIJMWqqHFeIr44RxxbDW9CSYOE"
"78","18.5194013","-69.8830622","ChIJ2fzETpOIr44RB7tFGIS3dcw"
"79","18.5069780","-69.8282659","ChIJ9cozFE-Gr44Rug1YBikQQlM"
"80","18.4804536","-69.8984491","ChIJhR_NsjeIr44RWh1z7hXqJvw"
"81","18.4787727","-69.8982257","ChIJyTPdJDeIr44RXb9yMoshxOk"
"82","18.4703554","-69.8943309","ChIJP0r6SyWIr44REhmhaxSGtLE"
"83","18.4673479","-69.8926553","ChIJh3N6qyWIr44RI3AXXbpFrEY"
"84","18.5105697","-69.8291146","ChIJvROfxEWGr44RiTFpv3c5BnE"
"85","18.4672640","-69.8945109","ChIJHYdcmiWIr44RLTw7RLLo_58"
"86","18.4777425","-69.9004604","ChIJw_V5ujaIr44RIzm4gBPUK-8"
"87","18.4762880","-69.9001110","ChIJWZJ5cT-Ir44Ruh0N55e1YzQ"
"88","18.4678170","-69.8958480","ChIJPzeFhyWIr44RI6cU5eL8-g8"
"89","18.4837337","-69.9028289","ChIJYXfnbEqIr44RbKaxFxxm_GU"
"90","18.4703870","-69.8997579","ChIJQ_E4GC6Ir44RuoO0SeaJmPE"
"91","18.5182663","-69.8328317","ChIJEySqskGGr44RIEADKHY6DIg"
"92","18.4732839","-69.8994672","ChIJSa0_uzGIr44RQfKpEvSwNkg"
"93","18.4662266","-69.8955650","ChIJqxVKXy-Ir44RWtIyMkhnIRw"
"94","18.4735291","-69.9003535","ChIJ70xjhTGIr44RxA3kfKoAs9k"
"95","18.4691432","-69.8980691","ChIJsyimoC-Ir44RY2gcjwGEIAc"
"96","18.4749320","-69.9010538","ChIJi3VWezGIr44RcohBAkX9m7Q"
"97","18.4798426","-69.9027188","ChIJx7hLNDSIr44RNdr6z522NtM"
"98","18.5185569","-69.8908192","ChIJwWtYiu6Ir44Rtv9Vjtsdavw"
"99","18.4746280","-69.9010652","ChIJW0EHfDGIr44RWDapYdlh7mU"
"100","18.4721560","-69.8221784","ChIJb_iaRpiHr44RETaHkOGBYGM"
"101","18.4693740","-69.8989805","ChIJpdOWSC6Ir44RUaxYwqih8e8"
"102","18.4640757","-69.8957967","ChIJzbdPoSiIr44R5TYyh4wv1mA"
"103","18.4946152","-69.9046756","ChIJn5YyhbKJr44RKtR0P5QT4NM"
